athlete_full_name,games_participations,first_game,athlete_year_birth,athlete_medals,athletes_age
David GLEIRSCHER,2,PyeongChang 2018,1994.0,"


1

G



1

B

",29
Felix LOCH,4,Vancouver 2010,1989.0,"


3

G

",34
Kristers APARJODS,2,PyeongChang 2018,1998.0,"


1

B

",25
Wolfgang KINDL,4,Vancouver 2010,1988.0,"


2

S

",35
Chris MAZDZER,4,Vancouver 2010,1988.0,"


1

S

",35
Johannes LUDWIG,2,PyeongChang 2018,1986.0,"


3

G



1

B

",37
Eliza TIRUMA,3,Sochi 2014,1990.0,"


2

B

",33
Madeleine EGLE,2,PyeongChang 2018,1998.0,"


1

S



1

B

",25
Natalie GEISENBERGER,4,Vancouver 2010,1988.0,"


6

G



1

B

",35
Tatyana IVANOVA,3,Vancouver 2010,1991.0,"


1

S



1

B

",32
Anna BERREITER,1,Beijing 2022,1999.0,"


1

S

",24
Emilien JACQUELIN,1,Beijing 2022,1995.0,"


2

S

",28
Fabien CLAUDE,1,Beijing 2022,1994.0,"


1

S

",29
Alexander LOGINOV,2,Sochi 2014,1992.0,"


2

B

",31
Sturla Holm LAEGREID,1,Beijing 2022,1997.0,"


1

G

",26
Anton SMOLSKI,2,PyeongChang 2018,1996.0,"


1

S

",27
Tarjei BOE,4,Vancouver 2010,1988.0,"


3

G



2

S



1

B

",35
Dominik WINDISCH,3,Sochi 2014,1989.0,"


3

B

",34
Simon DESTHIEUX,1,Beijing 2022,1991.0,"


1

S

",32
Martin PONSILUOMA,2,PyeongChang 2018,1995.0,"


1

S

",28
Quentin FILLON MAILLET,2,PyeongChang 2018,1992.0,"


2

G



3

S

",31
Benedikt DOLL,2,PyeongChang 2018,1990.0,"


2

B

",33
Maxim TSVETKOV,1,Beijing 2022,1992.0,"


1

B

",31
Vetle Sjaastad CHRISTIANSEN,1,Beijing 2022,1992.0,"


1

G



1

B

",31
Johannes Thingnes BOE,3,Sochi 2014,1993.0,"


5

G



2

S



1

B

",30
Denise HERRMANN,3,Sochi 2014,1988.0,"


1

G



2

B

",35
Hanna OEBERG,2,PyeongChang 2018,1995.0,"


2

G



1

S

",28
Vanessa HINZ,2,PyeongChang 2018,1992.0,"


1

B

",31
Irina KAZAKEVICH,1,Beijing 2022,1997.0,"


1

S

",26
Elvira OEBERG,1,Beijing 2022,1999.0,"


1

G



2

S

",24
Julia SIMON,1,Beijing 2022,1996.0,"


1

S

",27
Anais BESCOND,3,Sochi 2014,1987.0,"


1

G



2

B

",36
Justine BRAISAZ,2,PyeongChang 2018,1996.0,"


1

G



1

B

",27
Uliana NIGMATULLINA,1,Beijing 2022,1994.0,"


1

S



1

B

",29
Marte Olsbu ROEISELAND,1,Beijing 2022,1990.0,"


3

G



2

B

",33
Mona BRORSSON,2,PyeongChang 2018,1990.0,"


1

G



1

S

",33
Anais CHEVALIER,3,Sochi 2014,1993.0,"


2

S



1

B

",30
Linn PERSSON,2,PyeongChang 2018,1994.0,"


1

G



1

S

",29
Franziska PREUSS,3,Sochi 2014,1994.0,"


1

B

",29
Vanessa VOIGT,1,Beijing 2022,1997.0,"


1

B

",26
Dorothea WIERER,3,Sochi 2014,1990.0,"


3

B

",33
Tiril ECKHOFF,3,Sochi 2014,1990.0,"


2

G



3

S



3

B

",33
Lisa VITTOZZI,2,PyeongChang 2018,1995.0,"


1

B

",28
Svetlana MIRONOVA,1,Beijing 2022,1994.0,"


1

S

",29
Peppe FEMLING,2,PyeongChang 2018,1992.0,"


1

G

",31
Erik LESSER,3,Sochi 2014,1988.0,"


2

S



1

B

",35
Said Karimulla KHALILI,1,Beijing 2022,1998.0,"


1

B

",25
Selina GASPARIN,4,Vancouver 2010,1984.0,"


1

S

",39
Valj SEMERENKO,5,Turin 2006,1986.0,"


1

G

",37
Giuliano RAZZOLI,3,Vancouver 2010,1984.0,"


1

G

",39
Sebastian FOSS-SOLEVAAG,1,Beijing 2022,1991.0,"


1

B

",32
Julian RAUCHFUSS,1,Beijing 2022,1994.0,"


1

S

",29
Linus STRASSER,2,PyeongChang 2018,1992.0,"


1

S

",31
Manuel FELLER,2,PyeongChang 2018,1992.0,"


1

S

",31
Michael MATT,2,PyeongChang 2018,1993.0,"


1

G



1

S



1

B

",30
Clement NOEL,2,PyeongChang 2018,1997.0,"


1

G

",26
Alexander SCHMID,2,PyeongChang 2018,1994.0,"


1

S

",29
