athlete_full_name,games_participations,first_game,athlete_year_birth,athlete_medals,athletes_age
Arto NILSSON,1,Mexico City 1968,1948.0,"


1

B

",75
James Robert Jr. WALLINGTON,1,Mexico City 1968,1944.0,"


1

B

",79
Yevgeni FROLOV,2,Tokyo 1964,1941.0,"


1

S

",82
James Vincent MCCOURT,2,Tokyo 1964,1944.0,"


1

B

",79
Habib GALHIA,2,Tokyo 1964,1941.0,"


1

B

",82
Joseph BESSALA,1,Mexico City 1968,1941.0,"


1

S

",82
Vladimir MUSALIMOV,1,Mexico City 1968,1944.0,"


1

B

",79
Mario GUILOTTI GONZALEZ,1,Mexico City 1968,1946.0,"


1

B

",77
Bohumil NEMECEK,3,Rome 1960,1938.0,"


1

G

",85
Marian KASPRZYK,3,Rome 1960,1939.0,"


1

G



1

B

",84
Christopher Martin FINNEGAN,1,Mexico City 1968,1944.0,"


1

G

",79
Agustin ZARAGOZA,1,Mexico City 1968,1941.0,"


1

B

",82
Alfred JONES,1,Mexico City 1968,1946.0,"


1

B

",77
Lee Edward EVANS,1,Mexico City 1968,1947.0,"


2

G

",76
George Lawrence JAMES,1,Mexico City 1968,1947.0,"


1

G



1

S

",76
Ronald John II FREEMAN,1,Mexico City 1968,1947.0,"


1

G



1

B

",76
Andrzej BADENSKI,3,Tokyo 1964,1943.0,"


1

B

",80
Angela NEMETH-RANKY,2,Mexico City 1968,1946.0,"


1

G

",77
Mihaela PENES,2,Tokyo 1964,1947.0,"


1

G



1

S

",76
Marta ANTAL-RUDAS,3,Rome 1960,1937.0,"


1

S

",86
Wyomia TYUS,2,Tokyo 1964,1945.0,"


3

G



1

S

",78
Margaret Johnson BAILES,1,Mexico City 1968,1951.0,"


1

G

",72
Cheng CHI,3,Rome 1960,1944.0,"


1

B

",79
Miguelina COBIAN HECHEVARRIA,2,Tokyo 1964,1941.0,"


1

S

",82
Alfred OERTER,4,Melbourne 1956,1936.0,"


4

G

",87
Lothar MILDE,3,Rome 1960,1934.0,"


1

S

",89
Bill TOOMEY,1,Mexico City 1968,1939.0,"


1

G

",84
Kurt BENDLIN,1,Mexico City 1968,1943.0,"


1

B

",80
Rein AUN,2,Tokyo 1964,1940.0,"


1

S

",83
Renate GARISCH-CULMBERGER-BOY,3,Rome 1960,1939.0,"


1

S

",84
James Ray HINES,1,Mexico City 1968,1946.0,"


2

G

",77
Charles Edward GREENE,1,Mexico City 1968,1945.0,"


1

G



1

B

",78
Roger BAMBUCK,2,Tokyo 1964,1945.0,"


1

B

",78
Melvin Jr. PENDER,2,Tokyo 1964,1937.0,"


1

G

",86
Henry Winston Harry JEROME,3,Rome 1960,1940.0,"


1

B

",83
Richard Douglas FOSBURY,1,Mexico City 1968,1947.0,"


1

G

",76
Edward J. Jr. CARUTHERS,2,Tokyo 1964,1945.0,"


1

S

",78
Valentin GAVRILOV,1,Mexico City 1968,1946.0,"


1

B

",77
Ingrid BECKER-MICKLER,4,Rome 1960,1942.0,"


2

G

",81
Annamaria TOTH,1,Mexico City 1968,1945.0,"


1

B

",78
James Ronald RYUN,3,Tokyo 1964,1947.0,"


1

S

",76
Bodo TÜMMLER,2,Mexico City 1968,1943.0,"


1

B

",80
Josef ODLOZIL,2,Tokyo 1964,1938.0,"


1

S

",85
James Randel MATSON,2,Tokyo 1964,1945.0,"


1

G



1

S

",78
Eduard GUSHCHIN,1,Mexico City 1968,1940.0,"


1

B

",83
Gerhard HENNIGE,1,Mexico City 1968,1940.0,"


1

S



1

B

",83
John SHERWOOD,2,Mexico City 1968,1945.0,"


1

B

",78
Colette BESSON,2,Mexico City 1968,1946.0,"


1

G

",77
Lillian Barbara BOARD,1,Mexico City 1968,1948.0,"


1

S

",75
Janet Mary SIMPSON,3,Tokyo 1964,1944.0,"


1

B

",79
Romuald KLIM,2,Tokyo 1964,1933.0,"


1

G



1

S

",90
Lazar LOVASZ,1,Mexico City 1968,1942.0,"


1

B

",81
Gergely KULCSAR,4,Rome 1960,1934.0,"


1

S



2

B

",89
Janusz SIDLO,5,Helsinki 1952,1933.0,"


1

S

",90
Nabiba Naftali TEMU,3,Tokyo 1964,1945.0,"


1

G



1

B

",78
Ronald CLARKE,2,Tokyo 1964,1937.0,"


1

B

",86
Jose PEDRAZA ZUNIGA,1,Mexico City 1968,1937.0,"


1

S

",86
Jennifer LAMY-FRANK,1,Mexico City 1968,1949.0,"


1

B

",74
Ervin HALL,1,Mexico City 1968,1947.0,"


1

S

",76
Eddy OTTOZ,2,Tokyo 1964,1944.0,"


1

B

",79
Michael Robert RYAN,1,Mexico City 1968,1941.0,"


1

B

",82
George L. YOUNG,4,Rome 1960,1937.0,"


1

B

",86
Abebe BIKILA,3,Rome 1960,1932.0,"


2

G

",91
Jolan KLEIBER-KONTSEK,2,Tokyo 1964,1939.0,"


1

B

",84
Olga FIKOTOVA-CONNOLLY,5,Melbourne 1956,1932.0,"


1

G

",91
Antonina OKOROKOVA-LAZAREVA,2,Mexico City 1968,1941.0,"


1

S

",82
Valentina KOZYR,1,Mexico City 1968,1950.0,"


1

B

",73
Benjamin KOGO,2,Tokyo 1964,1944.0,"


1

S

",79
Madeline MANNING,3,Mexico City 1968,1948.0,"


1

G



1

S

",75
Maria Francisca P. GOMMERS,1,Mexico City 1968,1939.0,"


1

B

",84
Maryvonne DUPUREUR,3,Rome 1960,1937.0,"


1

S

",86
Bob BEAMON,1,Mexico City 1968,1946.0,"


1

G

",77
Klaus BEER,2,Tokyo 1964,1942.0,"


1

S

",81
Ralph Harold BOSTON,3,Rome 1960,1939.0,"


1

G



1

S



1

B

",84
Igor TER-OVANESYAN,5,Melbourne 1956,1938.0,"


2

B

",85
Lynn DAVIES,3,Tokyo 1964,1942.0,"


1

G

",81
Maureen CAIRD,2,Mexico City 1968,1951.0,"


1

G

",72
Tatyana TALYSHEVA,2,Tokyo 1964,1937.0,"


1

B

",86
Ralph DOUBELL,1,Mexico City 1968,1945.0,"


1

G

",78
Wilson Chuma KIPRUGUT,2,Tokyo 1964,1937.0,"


1

S



1

B

",86
Thomas Francis FARRELL,2,Tokyo 1964,1944.0,"


1

B

",79
Claus SCHIPROWSKI,1,Mexico City 1968,1942.0,"


1

S

",81
Thomas C. SMITH,1,Mexico City 1968,1944.0,"


1

G

",79
Peter George NORMAN,1,Mexico City 1968,1942.0,"


1

S

",81
John Wesley CARLOS,1,Mexico City 1968,1945.0,"


1

B

",78
Edwin ROBERTS,3,Tokyo 1964,1941.0,"


2

B

",82
Jozef SCHMIDT,3,Rome 1960,1935.0,"


2

G

",88
Derek Swithin ALLHUSEN,2,St. Moritz 1948,1914.0,"


1

G



1

S

",109
Michael Owen PAGE,3,Rome 1960,1938.0,"


2

S



1

B

",85
Reuben Samuel JONES,2,Tokyo 1964,1932.0,"


1

G

",91
Brian W.B. COBCROFT,2,Tokyo 1964,1934.0,"


1

B

",89
James SCANLON,1,Mexico City 1968,1948.0,"


1

B

",75
Jane Mary Elizabeth BULLEN,1,Mexico City 1968,1948.0,"


1

G

",75
Paolo ANGIONI,2,Tokyo 1964,1938.0,"


1

G

",85
Klaus WAGNER,3,Helsinki 1952,1922.0,"


1

S

",101
Karl-Heinz FUHRMANN,2,Tokyo 1964,1937.0,"


1

B

",86
Carlos Alberto MORATORIO,3,Rome 1960,1929.0,"


1

S

",94
Giuseppe RAVANO,2,Tokyo 1964,1943.0,"


1

G

",80
Lyudmila KHVEDOSYUK-PINAEVA,3,Tokyo 1964,1936.0,"


3

G



1

B

",87
Renate BREUER-DUKAT,2,Mexico City 1968,1939.0,"


1

S

",84
Viorica DUMITRU,2,Mexico City 1968,1946.0,"


2

B

",77
Tibor TATAI,1,Mexico City 1968,1944.0,"


1

G

",79
Vitali GALKOV,1,Mexico City 1968,1939.0,"


1

B

",84
Mihaly HESZ,2,Tokyo 1964,1943.0,"


1

G



1

S

",80
Wladyslaw SZUSZKIEWICZ,3,Tokyo 1964,1938.0,"


1

B

",85
Paulus Joan HOEKSTRA,3,Tokyo 1964,1944.0,"


1

S

",79
Günther PFAFF,4,Tokyo 1964,1939.0,"


1

B

",84
Valentyn MANKIN,4,Mexico City 1968,1938.0,"


3

G



1

S

",85
Hubert RAUDASCHL,9,Tokyo 1964,1942.0,"


2

S

",81
Fabio ALBARELLI,2,Mexico City 1968,1943.0,"


1

B

",80
Wilhelm KUHWEIDE,5,Tokyo 1964,1943.0,"


1

G



1

B

",80
Henning Norgaard WIND,2,Tokyo 1964,1937.0,"


1

B

",86
Istvan MONA,1,Mexico City 1968,1940.0,"


1

G

",83
James Warren MOORE,2,Tokyo 1964,1935.0,"


1

S

",88
Ferenc TÖRÖK,2,Tokyo 1964,1935.0,"


2

G



1

B

",88
Lucien GUIGUET,1,Mexico City 1968,1942.0,"


1

B

",81
Robert Lee BECK,2,Rome 1960,1936.0,"


2

B

",87
Marion Janice COAKES,1,Mexico City 1968,1947.0,"


1

S

",76
Frank Davis CHAPOT,5,Rome 1960,1932.0,"


2

S

",91
Hans Günter WINKLER,5,Rome 1960,1926.0,"


3

G



1

S



1

B

",97
Alwin SCHOCKEMÖHLE,3,Rome 1960,1937.0,"


2

G



1

S



1

B

",86
Pierre JONQUÈRES D'ORIOLA,4,Helsinki 1952,1920.0,"


2

G



2

S

",103
Gustav FISCHER,4,Helsinki 1952,1915.0,"


3

S



1

B

",108
Henri CHAMMARTIN,4,Helsinki 1952,1918.0,"


1

G



2

S



1

B

",105
Marianne GOSSWEILER,2,Tokyo 1964,1943.0,"


1

S



1

B

",80
Wolfgang SCHWARZ,2,Innsbruck 1964,1947.0,"


1

G

",76
Timothy WOOD,1,Grenoble 1968,1948.0,"


1

S

",75
Peggy FLEMING,2,Innsbruck 1964,1948.0,"


1

G

",75
Gabriele SEYFERT,2,Innsbruck 1964,1948.0,"


1

S

",75
Hana MASKOVA,2,Innsbruck 1964,1972.0,"


1

B

",51
Andreas KUNZ,1,Grenoble 1968,1946.0,"


1

B

",77
Vladimir GUNDARTSEV,1,Grenoble 1968,1944.0,"


1

G



1

B

",79
Jon ISTAD,3,Squaw Valley 1960,1937.0,"


1

S

",86
Ola WAERHAUG,3,Squaw Valley 1960,1937.0,"


1

S

",86
Joseph HAAS,1,Grenoble 1968,1937.0,"


1

B

",86
Jan HALVARSSON,1,Grenoble 1968,1942.0,"


1

S

",81
Assar RÖNNLUND,3,Squaw Valley 1960,1935.0,"


1

G



2

S

",88
Kalevi LAURILA,2,Innsbruck 1964,1937.0,"


1

S



1

B

",86
Igor VORONCHIKHIN,2,Innsbruck 1964,1938.0,"


2

B

",85
Toini GUSTAFSSON,2,Innsbruck 1964,1938.0,"


2

G



2

S

",85
Barbro MARTINSSON,4,Cortina d'Ampezzo 1956,1935.0,"


2

S

",88
Alevtina KOLCHINA,4,Cortina d'Ampezzo 1956,1930.0,"


1

G



1

S



3

B

",93
Babben ENGER,2,Innsbruck 1964,1939.0,"


1

G

",84
Britt STRANDBERG,3,Squaw Valley 1960,1934.0,"


1

G



2

S

",89
Liisa SUIKHONEN,2,Grenoble 1968,1943.0,"


1

S

",80
Harald GRÖNNINGEN,3,Squaw Valley 1960,1934.0,"


2

G



3

S

",89
Bjarne ANDERSSON,1,Grenoble 1968,1940.0,"


1

S

",83
Rita ACHKINA,2,Innsbruck 1964,1938.0,"


1

B

",85
Arto TIAINEN,4,Cortina d'Ampezzo 1956,1930.0,"


1

S



1

B

",93
Angelika DÜNHAUPT,1,Grenoble 1968,1946.0,"


1

B

",77
Helene THURNER,2,Innsbruck 1964,1938.0,"


1

B

",85
Ortrun ENDERLEIN,2,Innsbruck 1964,1943.0,"


1

G

",80
Thomas KÖHLER,2,Innsbruck 1964,1940.0,"


2

G



1

S

",83
Hans PLENK,2,Innsbruck 1964,1938.0,"


1

B

",85
Horst HÖRNLEIN,2,Grenoble 1968,1945.0,"


1

G

",78
Helmut THALER,2,Innsbruck 1964,1940.0,"


1

S

",83
Sigisfredo MAIR,3,Innsbruck 1964,1939.0,"


1

B

",84
Fritz NACHMANN,2,Innsbruck 1964,1929.0,"


1

B

",94
Olga PALL,1,Grenoble 1968,1947.0,"


1

G

",76
Christl HAAS,2,Innsbruck 1964,1943.0,"


1

G



1

B

",80
Fernande BOCHATAY,2,Innsbruck 1964,1946.0,"


1

B

",77
Marielle GOITSCHEL,2,Innsbruck 1964,1945.0,"


2

G



1

S

",78
Nancy GREENE,3,Squaw Valley 1960,1943.0,"


1

G



1

S

",80
Jean-Claude KILLY,2,Innsbruck 1964,1943.0,"


3

G

",80
Guy PÉRILLAT,3,Squaw Valley 1960,1940.0,"


1

S



1

B

",83
Jean-Daniel DÄTWYLER,1,Grenoble 1968,1945.0,"


1

B

",78
Karl SCHRANZ,3,Squaw Valley 1960,1938.0,"


1

S

",85
Egon ZIMMERMANN,2,Innsbruck 1964,1939.0,"


1

G

",84
William KIDD,2,Innsbruck 1964,1943.0,"


1

S

",80
Léo LACROIX,2,Innsbruck 1964,1937.0,"


1

S

",86
Herbert HUBER,1,Grenoble 1968,1944.0,"


1

S

",79
James HEUGA,2,Innsbruck 1964,1943.0,"


1

B

",80
Willy FAVRE,2,Innsbruck 1964,1943.0,"


1

S

",80
Vladimir BELOUSOV,1,Grenoble 1968,1946.0,"


1

G

",77
Lars GRINI,1,Grenoble 1968,1944.0,"


1

B

",79
Veikko KANKKONEN,3,Squaw Valley 1960,1940.0,"


1

G



1

S

",83
Baldur PREIML,2,Innsbruck 1964,1939.0,"


1

B

",84
Carolina GEIJSSEN,1,Grenoble 1968,1947.0,"


1

G



1

S

",76
Kaija MUSTONEN,2,Innsbruck 1964,1941.0,"


1

G



2

S



1

B

",82
Irina YEGOROVA,2,Innsbruck 1964,1940.0,"


2

S

",83
Jeanne ASHWORTH,3,Squaw Valley 1960,1938.0,"


1

B

",85
Jennifer FISH,1,Grenoble 1968,1949.0,"


1

S

",74
Ivar ERIKSEN,2,Innsbruck 1964,1942.0,"


1

S

",81
Magne THOMASSEN,2,Innsbruck 1964,1941.0,"


1

S

",82
Petrus NOTTET,2,Innsbruck 1964,1944.0,"


1

B

",79
Ants ANTSON,2,Innsbruck 1964,1938.0,"


1

G

",85
Richard MCDERMOTT,3,Squaw Valley 1960,1940.0,"


1

G



1

S

",83
Yevgeny GRISHIN,4,Cortina d'Ampezzo 1956,1931.0,"


4

G



1

S

",92
Fred Anton MAIER,2,Innsbruck 1964,1938.0,"


1

G



2

S



1

B

",85
Jonny NILSSON,2,Innsbruck 1964,1943.0,"


1

G

",80
Lidiya SKOBLIKOVA,3,Squaw Valley 1960,1939.0,"


6

G

",84
Johanna SCHUT,1,Grenoble 1968,1944.0,"


1

G

",79
Mary MEYERS,1,Grenoble 1968,1946.0,"


1

S

",77
Tatyana SIDOROVA,2,Innsbruck 1964,1936.0,"


1

B

",87
Igor NOVIKOV,4,Helsinki 1952,1929.0,"


2

G



2

S

",94
Albert MOKEEV,1,Tokyo 1964,1936.0,"


1

G



1

B

",87
Viktor MINEEV,1,Tokyo 1964,1937.0,"


1

G

",86
Imre NAGY,2,Rome 1960,1933.0,"


1

G



1

S



1

B

",90
David Archer KIRKWOOD,1,Tokyo 1964,1935.0,"


1

S

",88
Paul Karoly PESTHY,3,Tokyo 1964,1938.0,"


1

S

",85
Otto TOROK,1,Tokyo 1964,1937.0,"


1

B

",86
Peter Jones BARRETT,3,Rome 1960,1935.0,"


1

G



1

S

",88
Peter Garth MANDER,2,Melbourne 1956,1928.0,"


1

G

",95
Andre NELIS,3,Melbourne 1956,1935.0,"


1

S



1

B

",88
Aleksandr IVANITSKY,1,Tokyo 1964,1937.0,"


1

G

",86
Hamit KAPLAN,3,Melbourne 1956,1934.0,"


1

G



1

S



1

B

",89
Bohumil KUBAT,2,Rome 1960,1935.0,"


1

B

",88
Masamitsu ICHIGUCHI,2,Rome 1960,1940.0,"


1

G

",83
Vladlen TROSTYANSKY,1,Tokyo 1964,1935.0,"


1

S

",88
Ion CERNEA,2,Rome 1960,1936.0,"


1

S



1

B

",87
Hüseyin AKBAS,3,Melbourne 1956,1932.0,"


1

S



1

B

",91
Yoshikatsu YOSHIDA,1,Tokyo 1964,1941.0,"


1

G

",82
Said Ali Akbar HAYDARI,1,Tokyo 1964,1941.0,"


1

B

",82
Gholam Reza TAKHTI,4,Helsinki 1952,1930.0,"


1

G



2

S

",93
Anatoli KOLESOV,1,Tokyo 1964,1938.0,"


1

G

",85
Kiril Petkov TODOROV,2,Rome 1960,1933.0,"


1

S

",90
Rene SCHIERMEYER,2,Rome 1960,1938.0,"


1

B

",85
Mithat BAYRAK,3,Melbourne 1956,1929.0,"


2

G

",94
Taisto Ilmari KANGASNIEMI,4,London 1948,1924.0,"


1

B

",99
Krali Peytchev BIMBALOV,2,Rome 1960,1934.0,"


1

S

",89
Imre POLYAK,4,Helsinki 1952,1932.0,"


1

G



3

S

",91
Branislav MARTINOVIC,2,Rome 1960,1937.0,"


1

S



1

B

",86
Joseph MEWIS,4,Helsinki 1952,1931.0,"


1

S

",92
Kyösti Eemil LEHTONEN,3,Melbourne 1956,1931.0,"


1

G

",92
Dinko Petrov STOYKOV,3,Melbourne 1956,1935.0,"


1

B

",88
Müzahir SILLE,3,Melbourne 1956,1932.0,"


1

G

",91
Hasan GÜNGÖR,2,Rome 1960,1934.0,"


1

G



1

S

",89
Daniel Oliver BRAND,2,Rome 1960,1935.0,"


1

B

",88
Ismail OGAN,2,Rome 1960,1933.0,"


1

G



1

S

",90
Mohammad Ali SANATKARAN,1,Tokyo 1964,1937.0,"


1

B

",86
Valeriu BULARCA,2,Rome 1960,1931.0,"


1

S

",92
Osamu WATANABE,1,Tokyo 1964,1940.0,"


1

G

",83
Stancho Ivanov KOLEV,2,Rome 1960,1937.0,"


2

S

",86
Nodar KHOKHASHVILI,1,Tokyo 1964,1940.0,"


1

B

",83
Tsutomu HANAHARA,1,Tokyo 1964,1940.0,"


1

G

",83
Angel Stoyanov KERESOV,1,Tokyo 1964,1939.0,"


1

S

",84
Dumitru PIRVULESCU,4,Helsinki 1952,1933.0,"


1

G



1

B

",90
Ignazio FABRA,4,Helsinki 1952,1930.0,"


2

S

",93
Adelmo BULGARELLI,3,Melbourne 1956,1932.0,"


1

B

",91
Valeri POPENCHENKO,1,Tokyo 1964,1937.0,"


1

G

",86
Emil SCHULZ,1,Tokyo 1964,1938.0,"


1

S

",85
Franco VALLE,1,Tokyo 1964,1940.0,"


1

B

",83
Tadeusz WALASEK,3,Melbourne 1956,1936.0,"


1

S



1

B

",87
Vellikton BARANNIKOV,2,Rome 1960,1938.0,"


1

S

",85
Ronald Woodson HARRIS,1,Tokyo 1964,1947.0,"


1

B

",76
Rikardas TAMULIS,1,Tokyo 1964,1938.0,"


1

S

",85
Pertti Ilmari PURHONEN,1,Tokyo 1964,1942.0,"


1

B

",81
Silvano BERTINI,1,Tokyo 1964,1940.0,"


1

B

",83
Fernando ATZORI,1,Tokyo 1964,1942.0,"


1

G

",81
Robert John CARMODY,1,Tokyo 1964,1938.0,"


1

B

",85
Stanislav SOROKIN,1,Tokyo 1964,1941.0,"


1

B

",82
Stanislav STEPASHKIN,1,Tokyo 1964,1940.0,"


1

G

",83
Anthony N. VILLANUEVA,1,Tokyo 1964,1945.0,"


1

S

",78
Charles BROWN,1,Tokyo 1964,1939.0,"


1

B

",84
Heinz SCHULZ,1,Tokyo 1964,1935.0,"


1

B

",88
Jorma Johannes LIMMONEN,2,Rome 1960,1934.0,"


1

B

",89
Takao SAKURAI,1,Tokyo 1964,1941.0,"


1

G

",82
Juan FABILA MENDOZA,1,Tokyo 1964,1944.0,"


1

B

",79
Washington RODRIGUEZ,1,Tokyo 1964,1944.0,"


1

B

",79
Oleg GRIGORYEV,2,Rome 1960,1937.0,"


1

G

",86
Brunon BENDIG,2,Rome 1960,1938.0,"


1

B

",85
Gyula TÖRÖK,2,Rome 1960,1938.0,"


1

G

",85
Cosimo PINTO,1,Tokyo 1964,1943.0,"


1

G

",80
Aleksandr NIKOLOV,1,Tokyo 1964,1940.0,"


1

B

",83
Zbigniew PIETRZYKOWSKI,3,Melbourne 1956,1934.0,"


1

S



2

B

",89
Gheorghe NEGREA,3,Melbourne 1956,1934.0,"


1

S

",89
Joseph FRAZIER,1,Tokyo 1964,1944.0,"


1

G

",79
Hans HUBER,1,Tokyo 1964,1934.0,"


1

S

",89
Giuseppe ROS,1,Tokyo 1964,1942.0,"


1

B

",81
Vadim EMELYANOV,1,Tokyo 1964,1942.0,"


1

B

",81
Josef NEMEC,3,Melbourne 1956,1933.0,"


1

B

",90
Joseph GONZALES,1,Tokyo 1964,1941.0,"


1

S

",82
Nojim MAIYEGUN,1,Tokyo 1964,1941.0,"


1

B

",82
Jozef GRZESIAK,1,Tokyo 1964,1941.0,"


1

B

",82
Edward BLAY,2,Rome 1960,1937.0,"


1

B

",86
Richard MCTAGGART,3,Melbourne 1956,1935.0,"


1

G



1

B

",88
Vyacheslav IVANOV,3,Melbourne 1956,1938.0,"


3

G

",85
Gottfried KOTTMANN,2,Rome 1960,1932.0,"


1

B

",91
Giovanni PETTENELLA,1,Tokyo 1964,1943.0,"


1

G



1

S

",80
Sergio BIANCHETTO,2,Rome 1960,1939.0,"


2

G



1

S

",84
Willy FUGGERER,1,Tokyo 1964,1941.0,"


1

B

",82
Patrick SERCU,1,Tokyo 1964,1944.0,"


1

G

",79
Lothar CLAESGES,1,Tokyo 1964,1942.0,"


1

G

",81
Viktor LOGUNOV,1,Tokyo 1964,1944.0,"


1

S

",79
Jiri DALER,2,Tokyo 1964,1940.0,"


1

G

",83
Giorgio URSI,1,Tokyo 1964,1942.0,"


1

S

",81
Preben ISAKSSON,1,Tokyo 1964,1943.0,"


1

B

",80
Stanislav MOSKVIN,3,Rome 1960,1939.0,"


1

B

",84
Mario ZANIN,1,Tokyo 1964,1940.0,"


1

G

",83
Kjell Akerstrom-H. RODIAN,1,Tokyo 1964,1942.0,"


1

S

",81
Walter GODEFROOT,1,Tokyo 1964,1943.0,"


1

B

",80
Hubertus Balthazar ZOET,1,Tokyo 1964,1942.0,"


1

G

",81
Gerben KARSTENS,1,Tokyo 1964,1942.0,"


1

G

",81
Severino ANDREOLI,1,Tokyo 1964,1941.0,"


1

S

",82
Johannes Aloysius PIETERSE,1,Tokyo 1964,1942.0,"


1

G

",81
Sven Helge HAMRIN,1,Tokyo 1964,1941.0,"


1

B

",82
Sture FÄGLUM-PETTERSSON,2,Tokyo 1964,1942.0,"


1

S



1

B

",81
Yuri MELIKHOV,2,Rome 1960,1937.0,"


1

B

",86
Aleksei PETROV,2,Rome 1960,1937.0,"


1

B

",86
Ferruccio MANZA,1,Tokyo 1964,1943.0,"


1

S

",80
Hermann SCHRIDDE,2,Tokyo 1964,1937.0,"


1

G



1

S



1

B

",86
Peter David ROBESON,2,Tokyo 1964,1929.0,"


1

B

",94
Kurt JARASINSKI,1,Tokyo 1964,1938.0,"


1

G

",85
Guy Robert Marie LEFRANT,3,Helsinki 1952,1923.0,"


2

S



1

B

",100
Antonius Johannes GEESINK,1,Tokyo 1964,1934.0,"


1

G

",89
Akio KAMINAGA,1,Tokyo 1964,1936.0,"


1

S

",87
Takehide NAKATANI,1,Tokyo 1964,1941.0,"


1

G

",82
Eric HÄNNI,1,Tokyo 1964,1938.0,"


1

S

",85
Oleg STEPANOV,1,Tokyo 1964,1939.0,"


1

B

",84
Isao INOKUMA,1,Tokyo 1964,1938.0,"


1

G

",85
Anzor KIKNADZE,1,Tokyo 1964,1934.0,"


1

B

",89
Isao OKANO,1,Tokyo 1964,1944.0,"


1

G

",79
Wolfgang HOFMANN,1,Tokyo 1964,1941.0,"


1

S

",82
James Steven BREGMAN,1,Tokyo 1964,1941.0,"


1

B

",82
Jeanne Ellen COLLIER,1,Tokyo 1964,1946.0,"


1

S

",77
Mary Patricia WILLARD,2,Rome 1960,1941.0,"


1

B

",82
Robert David WEBSTER,2,Rome 1960,1938.0,"


2

G

",85
Thomas Eugen GOMPF,1,Tokyo 1964,1939.0,"


1

B

",84
Brian Eric PHELPS,2,Rome 1960,1944.0,"


1

B

",79
Kenneth Robert SITZBERGER,1,Tokyo 1964,1945.0,"


1

G

",78
Francis Xavier GORMAN,1,Tokyo 1964,1937.0,"


1

S

",86
Lawrence Edwin ANDREASEN,1,Tokyo 1964,1945.0,"


1

B

",78
Gerhard SCHULZ,2,Rome 1960,1931.0,"


1

B

",92
Jack Louis J. LE GOFF,2,Rome 1960,1931.0,"


1

B

",92
Neil John LAVIS,2,Rome 1960,1930.0,"


1

G



1

S

",93
Jehan Raymond LE ROY,2,Rome 1960,1923.0,"


1

B

",100
Frank WIEGAND,3,Rome 1960,1943.0,"


4

S

",80
Allan WOOD,2,Rome 1960,1943.0,"


3

B

",80
Roy Allen SAARI,1,Tokyo 1964,1945.0,"


1

G



1

S

",78
Tsuyoshi YAMANAKA,3,Melbourne 1956,1939.0,"


4

S



1

B

",84
Sharon Marie STOUDER,1,Tokyo 1964,1948.0,"


3

G



1

S

",75
Kathy ELLIS,1,Tokyo 1964,1946.0,"


2

G



2

B

",77
Donna Elizabeth DE VARONA,2,Rome 1960,1947.0,"


3

G

",76
Dawn FRASER,3,Melbourne 1956,1937.0,"


4

G



4

S

",86
Erica Georgine TERPSTRA,2,Rome 1960,1943.0,"


1

S



1

B

",80
Cathy FERGUSON,1,Tokyo 1964,1948.0,"


2

G

",75
Christine (Kiki) CARON,2,Tokyo 1964,1948.0,"


1

S

",75
Virginia Ruth DUENKEL,1,Tokyo 1964,1947.0,"


1

G



1

B

",76
Satoko TANAKA,2,Rome 1960,1942.0,"


1

B

",81
Nina Adams HARMER,2,Rome 1960,1945.0,"


1

G

",78
Richard William ROTH,1,Tokyo 1964,1947.0,"


1

G

",76
Gerhard HETZ,2,Rome 1960,1942.0,"


1

S



1

B

",81
Kevin John BERRY,2,Rome 1960,1945.0,"


1

G



1

S



1

B

",78
Frederick Weber SCHMIDT,1,Tokyo 1964,1943.0,"


1

G



1

B

",80
Clena Geertje BIMOLT,2,Tokyo 1964,1945.0,"


1

S

",78
Ursula KÜPER,2,Rome 1960,1937.0,"


1

B

",86
Hans-Joachim KLEIN,2,Rome 1960,1942.0,"


3

S



1

B

",81
Gary Steven ILMAN,1,Tokyo 1964,1943.0,"


2

G

",80
Michael Mackay AUSTIN,1,Tokyo 1964,1943.0,"


1

G

",80
Uwe JACOBSEN,2,Rome 1960,1940.0,"


1

S

",83
Marilyn RAMENOFSKY,1,Tokyo 1964,1946.0,"


1

S

",77
Therese Lee STICKLES,1,Tokyo 1964,1946.0,"


1

B

",77
Anita LONSBROUGH,2,Rome 1960,1941.0,"


1

G

",82
Natalya USTINOVA,2,Tokyo 1964,1944.0,"


1

B

",79
Georgi PROKOPENKO,2,Rome 1960,1937.0,"


1

S

",86
Chester Andrew JASTREMSKI,2,Tokyo 1964,1941.0,"


1

G



1

B

",82
Jedward Richard GRAEF,1,Tokyo 1964,1942.0,"


1

G

",81
Gary J. DILLEY,1,Tokyo 1964,1945.0,"


1

S

",78
Robert Earl BENNETT,2,Rome 1960,1943.0,"


2

G



2

B

",80
Ernst Joachim KÜPPERS,1,Tokyo 1964,1942.0,"


1

S

",81
Viktor MAZANOV,3,Tokyo 1964,1947.0,"


2

S



2

B

",76
Peter Askin REYNOLDS,1,Tokyo 1964,1945.0,"


1

B

",78
Sharon Evans FINNERAN,1,Tokyo 1964,1946.0,"


1

S

",77
Martha Irene RANDALL,1,Tokyo 1964,1948.0,"


1

B

",75
Janice MURPHY,1,Tokyo 1964,1942.0,"


1

S

",81
Helga Margot MEES-VOLZ,3,Rome 1960,1937.0,"


1

S



1

B

",86
Katalin JUHASZ-NAGY,2,Rome 1960,1932.0,"


1

G



1

S

",91
